ipid;name;lange_bahntunnel;1_inbetr_jahr_bahntunnel;tunnelsystem;bemerkung;linie;km_go;kanton;geopos
2790735.0;Emmetunnel;1633.0;2004;1-Röhre / 2-Spuren;;400;20.054;Bern;47.08639511006154, 7.572490173741819
2790403.0;Hersiwiltunnel;1000.0;2004;1-Röhre / 2-Spuren;;400;30.55;Solothurn;47.16603083716405, 7.630904026530572
2766814.0;Thunstettentunnel I Nord NBS;889.0;2004;1-Röhre / 2-Spuren;;400;40.749;Bern;47.20920990794982, 7.746199023974075
2529287.0;Murgenthaltunnel;4744.0;2004;1-Röhre / 2-Spuren;;400;51.29;Aargau;47.27029181979018, 7.847980381159367
2821661.0;Wolfachertunnel Nord;577.0;2004;1-Röhre / 1-Spur;;415;68.966;Bern;47.196823339947315, 7.686096596803859
3423766.0;Thunstettentunnel II Süd STL;891.0;2004;1-Röhre / 2-Spuren;;450;62.3;Bern;47.20864076225987, 7.746537586309583
1664143.0;Entlenstaldentunnel;58.0;1875;1-Röhre / 1-Spur;;460;68.599;Luzern;47.012294388267634, 8.065121400110925
1664111.0;Wolhusentunnel;150.0;1875;1-Röhre / 1-Spur;;460;73.699;Luzern;47.056365015527, 8.071590518953254
624460.0;Hauenstein Basistunnel HBT;8135.0;1916;1-Röhre / 2-Spuren;;500;28.705;Basel-Landschaft;47.44133149093568, 7.890813452262203
323085.0;Aarburgertunnel;87.0;1856;1-Röhre / 2-Spuren;;500;42.553;Aargau;47.32375084314627, 7.905003942521674
124518.0;Gütschtunnel Luzern;326.0;1897;1-Röhre / 2-Spuren;;500;93.035;Luzern;47.049885054316356, 8.297452760143338
1590737.0;Adlertunnel;5303.0;2000;1-Röhre / 2-Spuren;;501;10.287;Basel-Landschaft;47.509034269894556, 7.691196947631301
1856651.0;Bucktentunnel;263.0;1857;1-Röhre / 1-Spur;;503;29.161;Basel-Landschaft;47.40611281196951, 7.849577880260787
2013424.0;Schützenmatttunnel;286.0;1901;1-Röhre / 2-Spuren;;510;140.298;Basel-Stadt;47.54965247424775, 7.56840994782615
12096825.0;Tunnel Wöschnau;488.0;2019;1-Röhre / 1-Spur;;540;50.279;Solothurn;47.383844513987256, 8.021087389557664
3511169.0;Rindelfluhtunnel re. Berg G200;201.0;1882;1-Röhre / 1-Spur;;600;6.796;Schwyz;47.05248412501303, 8.523335118178197
624338.0;Rindelfluhtunnel li. See G100;200.0;1904;1-Röhre / 1-Spur;;600;6.842;Schwyz;47.05289946370437, 8.524081373065268
323523.0;Oelbergtunnel;1987.0;1882;1-Röhre / 1-Spur;;600;24.755;Schwyz;46.96295053835895, 8.61599861221638
